时间,datadata
2018/1/1 00:00:00,244033.7682
2018/1/1 00:15:00,232720.6402
2018/1/1 00:30:00,231685.6891
2018/1/1 00:45:00,227581.3317
2018/1/1 01:00:00,233482.4269
2018/1/1 01:15:00,224464.7554
2018/1/1 01:30:00,223881.3222
2018/1/1 01:45:00,221522.7156
2018/1/1 02:00:00,228138.5805
2018/1/1 02:15:00,220047.4568
2018/1/1 02:30:00,220573.6666
2018/1/1 02:45:00,219896.75
2018/1/1 03:00:00,224121.3949
2018/1/1 03:15:00,229556.1453
2018/1/1 03:30:00,215950.7908
2018/1/1 03:45:00,213963.2834
2018/1/1 04:00:00,216487.5923
2018/1/1 04:15:00,211537.1307
2018/1/1 04:30:00,212033.174
2018/1/1 04:45:00,217465.0912
2018/1/1 05:00:00,218271.4217
2018/1/1 05:15:00,236180.4538
2018/1/1 05:30:00,213510.2072
2018/1/1 05:45:00,236967.7574
2018/1/1 06:00:00,220152.7494
2018/1/1 06:15:00,212271.5559
2018/1/1 06:30:00,209972.7333
2018/1/1 06:45:00,208697.8496
2018/1/1 07:00:00,213808.6241
2018/1/1 07:15:00,207072.372
2018/1/1 07:30:00,204480.9058
2018/1/1 07:45:00,207616.6495
2018/1/1 08:00:00,208614.265
2018/1/1 08:15:00,203793.5753
2018/1/1 08:30:00,205267.6863
2018/1/1 08:45:00,206870.7307
2018/1/1 09:00:00,216101.242
2018/1/1 09:15:00,209963.5599
2018/1/1 09:30:00,212765.8321
2018/1/1 09:45:00,215195.996
2018/1/1 10:00:00,227239.6381
2018/1/1 10:15:00,240495.9314
2018/1/1 10:30:00,219962.6322
2018/1/1 10:45:00,218330.6229
2018/1/1 11:00:00,230392.4951
2018/1/1 11:15:00,225234.5089
2018/1/1 11:30:00,225847.5166
2018/1/1 11:45:00,225491.5088
2018/1/1 12:00:00,231639.12699999998
2018/1/1 12:15:00,233883.7328
2018/1/1 12:30:00,220691.8036
2018/1/1 12:45:00,218910.5081
2018/1/1 13:00:00,228360.1525
2018/1/1 13:15:00,216727.3519
2018/1/1 13:30:00,215198.5112
2018/1/1 13:45:00,214954.0029
2018/1/1 14:00:00,223432.7036
2018/1/1 14:15:00,212948.1638
2018/1/1 14:30:00,212299.8913
2018/1/1 14:45:00,210927.116
2018/1/1 15:00:00,219303.6127
2018/1/1 15:15:00,211065.1862
2018/1/1 15:30:00,208218.2147
2018/1/1 15:45:00,209392.1555
2018/1/1 16:00:00,219496.8008
2018/1/1 16:15:00,214732.0644
2018/1/1 16:30:00,218917.1671
2018/1/1 16:45:00,219759.1476
2018/1/1 17:00:00,230398.681
2018/1/1 17:15:00,226652.9938
2018/1/1 17:30:00,232022.5375
2018/1/1 17:45:00,234560.2623
2018/1/1 18:00:00,246983.9221
2018/1/1 18:15:00,240788.3888
2018/1/1 18:30:00,250922.229
2018/1/1 18:45:00,239955.6556
2018/1/1 19:00:00,245685.2832
2018/1/1 19:15:00,237613.0838
2018/1/1 19:30:00,235609.7078
2018/1/1 19:45:00,257733.9648
2018/1/1 20:00:00,243098.5973
2018/1/1 20:15:00,234799.065
2018/1/1 20:30:00,234718.8229
2018/1/1 20:45:00,232592.4679
2018/1/1 21:00:00,241985.9952
2018/1/1 21:15:00,234320.5234
2018/1/1 21:30:00,234535.8695
2018/1/1 21:45:00,232184.9459
2018/1/1 22:00:00,238362.0286
2018/1/1 22:15:00,228433.3587
2018/1/1 22:30:00,224915.6451
2018/1/1 22:45:00,222615.9423
2018/1/1 23:00:00,225228.9648
2018/1/1 23:15:00,213662.3933
2018/1/1 23:30:00,209709.2317
2018/1/1 23:45:00,205839.6378
